Unnamed: 0,lora_key,shape,new_k,attn_processor_key,sub_key
0,lora_unet_input_blocks_4_1_proj_in.alpha,torch.Size([]),input_blocks_4_1_proj_in.alpha,,input_blocks_4_1_proj_in.alpha
1,lora_unet_input_blocks_4_1_proj_in.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_proj_in.lora_down.weight,,input_blocks_4_1_proj_in.lora_down.weight
2,lora_unet_input_blocks_4_1_proj_in.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_proj_in.lora_up.weight,,input_blocks_4_1_proj_in.lora_up.weight
3,lora_unet_input_blocks_4_1_proj_out.alpha,torch.Size([]),input_blocks_4_1_proj_out.alpha,,input_blocks_4_1_proj_out.alpha
4,lora_unet_input_blocks_4_1_proj_out.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_proj_out.lora_down.weight,,input_blocks_4_1_proj_out.lora_down.weight
5,lora_unet_input_blocks_4_1_proj_out.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_proj_out.lora_up.weight,,input_blocks_4_1_proj_out.lora_up.weight
6,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_k.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn1_to_k.alpha,,input_blocks_4_1_transformer_blocks_0_attn1_to_k.alpha
7,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_down.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_down.weight
8,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_up.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_k.lora_up.weight
9,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.alpha,,input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.alpha
10,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_down.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_down.weight
11,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_up.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_out_0.lora_up.weight
12,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_q.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn1_to_q.alpha,,input_blocks_4_1_transformer_blocks_0_attn1_to_q.alpha
13,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_down.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_down.weight
14,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_up.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_q.lora_up.weight
15,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_v.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn1_to_v.alpha,,input_blocks_4_1_transformer_blocks_0_attn1_to_v.alpha
16,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_down.weight,"torch.Size([32, 640])",input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_down.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_down.weight
17,lora_unet_input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_up.weight,,input_blocks_4_1_transformer_blocks_0_attn1_to_v.lora_up.weight
18,lora_unet_input_blocks_4_1_transformer_blocks_0_attn2_to_k.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn2_to_k.alpha,,input_blocks_4_1_transformer_blocks_0_attn2_to_k.alpha
19,lora_unet_input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_down.weight,"torch.Size([32, 2048])",input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_down.weight,,input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_down.weight
20,lora_unet_input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_up.weight,"torch.Size([640, 32])",input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_up.weight,,input_blocks_4_1_transformer_blocks_0_attn2_to_k.lora_up.weight
21,lora_unet_input_blocks_4_1_transformer_blocks_0_attn2_to_out_0.alpha,torch.Size([]),input_blocks_4_1_transformer_blocks_0_attn2_to_out_0.alpha,,input_blocks_4_1_transformer_blocks_0_attn2_to_out_0.alpha
